1,E159,"Lingaraj Appa Engineering-Gornalli, Bidar",CS-Computer Science & Engineering,7,29,36,"1,66,111.00","20,000.00","1,86,111.00"
5,E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",CS-Computer Science & Engineering,49,5,54,"1,86,111.00","20,000.00","2,06,111.00"
6,E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",CY-Computer Science & Engineering (Cyber Security),24,3,27,"1,86,111.00","20,000.00","2,06,111.00"
18,E165,"Alliance College of Engineering and Design. Alliance University-Anekal,Bengaluru Rural",CS-Computer Science & Engineering,4,1,5,"2,61,477.00","20,000.00","2,81,477.00"
19,E165,"Alliance College of Engineering and Design. Alliance University-Anekal,Bengaluru Rural",CY-Computer Science & Engineering (Cyber Security),4,1,5,"2,61,477.00","20,000.00","2,81,477.00"
20,E165,"Alliance College of Engineering and Design. Alliance University-Anekal,Bengaluru Rural",CO-Computer Science & Engineering (IOT),4,1,5,"2,61,477.00","20,000.00","2,81,477.00"
27,E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",CS-Computer Science & Engineering,1,1,2,"3,23,225.00",-,"3,23,225.00"
28,E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",CB-Computer Science & Business Systems,1,1,2,"3,23,225.00",-,"3,23,225.00"
30,E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",CY-Computer Science & Engineering (Cyber Security),1,1,2,"3,23,225.00",-,"3,23,225.00"
31,E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",CD-Computer Science & Engineering (Data Science),1,1,2,"3,23,225.00",-,"3,23,225.00"
1,E089,P.E.S.College of Engineering,CD-Computer Science & Engineering (Data Science),16,2,18,"1,86,111.00","20,000.00","2,06,111.00"
7,E090,"PES Institute of Technology and Management , Shivamogga",CS-Computer Science & Engineering,49,5,54,"1,86,111.00","20,000.00","2,06,111.00"
9,E090,"PES Institute of Technology and Management , Shivamogga",CD-Computer Science & Engineering (Data Science),16,2,18,"1,86,111.00","20,000.00","2,06,111.00"
10,E090,"PES Institute of Technology and Management , Shivamogga",CG-Computer Science & Design,16,2,18,"1,86,111.00","20,000.00","2,06,111.00"
16,E094,"Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete",CS-Computer Science & Engineering,10,26,36,"1,86,111.00","20,000.00","2,06,111.00"
25,E095,"R V College of Engineering-Mysore Road, Bengaluru",CS-Computer Science & Engineering,79,7,86,"2,61,477.00","20,000.00","2,81,477.00"
27,E095,"R V College of Engineering-Mysore Road, Bengaluru",CY-Computer Science & Engineering (Cyber Security),16,2,18,"2,61,477.00","20,000.00","2,81,477.00"
28,E095,"R V College of Engineering-Mysore Road, Bengaluru",CD-Computer Science & Engineering (Data Science),16,2,18,"2,61,477.00","20,000.00","2,81,477.00"
35,E096,"R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapur",CS-Computer Science & Engineering,48,6,54,"2,61,477.00","20,000.00","2,81,477.00"
37,E096,"R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapur",CY-Computer Science & Engineering (Cyber Security),16,2,18,"2,61,477.00","20,000.00","2,81,477.00"
38,E096,"R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapur",CD-Computer Science & Engineering (Data Science),16,2,18,"2,61,477.00","20,000.00","2,81,477.00"
4,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",CS-Computer Science & Engineering,66,6,72,"2,61,477.00","20,000.00","2,81,477.00"
5,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",CB-Computer Science & Business Systems,16,2,18,"2,61,477.00","20,000.00","2,81,477.00"
6,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",CY-Computer Science & Engineering (Cyber Security),16,2,18,"2,61,477.00","20,000.00","2,81,477.00"
7,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",CD-Computer Science & Engineering (Data Science),16,2,18,"2,61,477.00","20,000.00","2,81,477.00"
8,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",CG-Computer Science & Design,16,2,18,"2,61,477.00","20,000.00","2,81,477.00"
19,E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",CS-Computer Science & Engineering,66,6,72,"2,61,477.00","20,000.00","2,81,477.00"
27,E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",CS-Computer Science & Engineering,49,5,54,"2,61,477.00","20,000.00","2,81,477.00"
4,E211,East West College of Engineering Yelahanka Bengaluru,CS-Computer Science & Engineering,32,4,36,"1,86,111.00","20,000.00","2,06,111.00"
6,E074,"KLS Vishwanathrao Deshpande Institute of Technology, Haliyal",CS-Computer Science & Engineering,33,3,36,"1,86,111.00","20,000.00","2,06,111.00"
13,E075,"KNS Institute of Technology-Yelahanka, Bengaluru",CS-Computer Science & Engineering,33,3,36,"1,86,111.00","20,000.00","2,06,111.00"
14,E075,"KNS Institute of Technology-Yelahanka, Bengaluru",CD-Computer Science & Engineering (Data Science),16,2,18,"1,86,111.00","20,000.00","2,06,111.00"
21,E076,"M.S. Engineering College-Sadahalli, Bengaluru",CS-Computer Science & Engineering,49,5,54,"1,86,111.00","20,000.00","2,06,111.00"
31,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",CS-Computer Science & Engineering,54,5,59,"2,61,477.00","20,000.00","2,81,477.00"
33,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",CY-Computer Science & Engineering (Cyber Security),19,2,21,"2,61,477.00","20,000.00","2,81,477.00"
2,E109,"S.E.A. College of Engineering and Technology-K R Puram, Bengaluru",CS-Computer Science & Engineering,33,3,36,"1,86,111.00","20,000.00","2,06,111.00"
9,E110,SSETs S.G. Balekundri Institute of Technology,CS-Computer Science & Engineering,49,5,54,"1,86,111.00","20,000.00","2,06,111.00"
10,E110,SSETs S.G. Balekundri Institute of Technology,CB-Computer Science & Business Systems,33,3,36,"1,86,111.00","20,000.00","2,06,111.00"
14,E112,"Sahyadri College of Engineering and Management-Adyar, Mangaluru",CS-Computer Science & Engineering,50,22,72,"2,61,477.00","20,000.00","2,81,477.00"
21,E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",CS-Computer Science & Engineering,49,5,54,"1,86,111.00","20,000.00","2,06,111.00"
23,E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",CD-Computer Science & Engineering (Data Science),33,3,36,"1,86,111.00","20,000.00","2,06,111.00"
30,E114,"Sambhram Institute of Technology-Jalahalli East, Bengaluru",CS-Computer Science & Engineering,66,6,72,"1,86,111.00","20,000.00","2,06,111.00"
31,E114,"Sambhram Institute of Technology-Jalahalli East, Bengaluru",CY-Computer Science & Engineering (Cyber Security),16,2,18,"1,86,111.00","20,000.00","2,06,111.00"
35,E116,"Sapthagiri NPS University, Hesarghatta Main Road, Bengaluru",CS-Computer Science & Engineering,27,3,30,"2,20,000.00","20,000.00","2,40,000.00"
36,E116,"Sapthagiri NPS University, Hesarghatta Main Road, Bengaluru",CD-Computer Science & Engineering (Data Science),9,1,10,"2,20,000.00","20,000.00","2,40,000.00"
0,E147,"Vidyavardhaka College of Engineering-Gokulam, Mysuru",CS-Computer Science & Engineering,149,13,162,"2,61,477.00","20,000.00","2,81,477.00"
8,E148,Vivekananda College of Engineering and Technology Puttur Dakshina Kannada,CS-Computer Science & Engineering,33,3,36,"2,61,477.00","20,000.00","2,81,477.00"
